parlay_rank,league,home_team,away_team,game_date,game_time_est,best_pick,calibrated_probability,expected_value,edge,consensus_agreement,odds_american,market_probability,ml_probability
107,NCAAB,Liberty,Sam Houston St.,2026-03-07 00:00:00+00:00,,Liberty -5.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
108,NCAAB,Marquette,Connecticut,2026-03-07 00:00:00+00:00,,Marquette +9.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
109,NCAAB,Mercer,Western Carolina,2026-03-07 00:00:00+00:00,,Mercer -2.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
110,NCAAB,Mercyhurst,Stonehill,2026-03-07 00:00:00+00:00,,Mercyhurst -5.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
111,NCAAB,Miami-Florida,Louisville,2026-03-07 00:00:00+00:00,,Miami-Florida +1.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
112,NCAAB,Minnesota,Northwestern,2026-03-07 00:00:00+00:00,,Northwestern +3.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
113,NCAAB,Missouri,Arkansas,2026-03-07 00:00:00+00:00,,Missouri -1.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
114,NCAAB,Missouri St.,Middle TN,2026-03-07 00:00:00+00:00,,Missouri St. +1.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
115,NCAAB,Nevada,Air Force,2026-03-07 00:00:00+00:00,,Nevada -24.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
116,NCAAB,New Mexico St.,Kennesaw St.,2026-03-07 00:00:00+00:00,,New Mexico St. -2.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
117,NCAAB,Ohio St.,Indiana,2026-03-07 00:00:00+00:00,,Ohio St. -4.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
118,NCAAB,Oklahoma State,Houston,2026-03-07 00:00:00+00:00,,Oklahoma State +12.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
119,NCAAB,Oregon,Washington,2026-03-07 00:00:00+00:00,,Oregon +1.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
120,NCAAB,Pacific,Seattle,2026-03-07 00:00:00+00:00,,Pacific -1.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
121,NCAAB,Purdue,Wisconsin,2026-03-07 00:00:00+00:00,,Purdue -8.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
122,NCAAB,Quinnipiac,Marist,2026-03-07 00:00:00+00:00,,Quinnipiac -2.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
123,NCAAB,Saint Joseph's,La Salle,2026-03-07 00:00:00+00:00,,Saint Joseph's -9.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
124,NCAAB,Samford,Furman,2026-03-07 00:00:00+00:00,,Samford -1.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
125,NCAAB,San Francisco,Portland,2026-03-07 00:00:00+00:00,,San Francisco -7.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
126,NCAAB,San Jose St.,Wyoming,2026-03-07 00:00:00+00:00,,San Jose St. +5.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
127,NCAAB,Siena,Mount St. Mary's,2026-03-07 00:00:00+00:00,,Siena -2.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
128,NCAAB,Southern Utah,CA Baptist,2026-03-07 00:00:00+00:00,,Southern Utah +6.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
129,NCAAB,St Bonaventure,Davidson,2026-03-07 00:00:00+00:00,,St Bonaventure -3.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
130,NCAAB,Stony Brook,Campbell,2026-03-07 00:00:00+00:00,,Stony Brook +2.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
131,NCAAB,Syracuse,Pittsburgh,2026-03-07 00:00:00+00:00,,Syracuse -6.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
132,NCAAB,Tennessee,Vanderbilt,2026-03-07 00:00:00+00:00,,Tennessee -3.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
133,NCAAB,Tennessee St.,Morehead St.,2026-03-07 00:00:00+00:00,,Tennessee St. -4.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
134,NCAAB,Texas,Oklahoma,2026-03-07 00:00:00+00:00,,Texas -7.5,0.523809523809524,2.7755575615628914e-16,1.1102230246251565e-16,⚪ No Kalshi,-110.0,0.5238095238095238,
